Name,Field(s),Date,Notes,Cleaned_Notes
Isabiau la Mergesse,,1292,French-Jewish physician,French-Jewish physician
Floreta La-Noga,,1374,Aragonese physician,Aragonese physician
Helvidis,,1176,French physician,French physician
Keng Hsien-Seng,,1000,Chinese chemist,Chinese chemist
Li Shao Yun,,1100,Chinese chemist,Chinese chemist
Stephanie de Lyon,,1265,French physician,French physician
Guillemette du Luys,,1479,French royal surgeon,French royal surgeon
Thomasia de Mattio,,,"Italian physician, mentioned in Pope Sixtus IV edict regarding physicians and surgeons.","Italian physician, mentioned in Pope Sixtus IV edict regarding physicians and surgeons."
Margherita di Napoli,,1400,Napolitan oculist active in Frankfurt-am-Main,Napolitan oculist active in Frankfurt-am-Main
Mercuriade,,1400,Italian physician and surgeon,Italian physician and surgeon
Gilette de Narbonne,,1300,French physician,French physician
Isabella da Ocre,,,Napolitan surgeon,Napolitan surgeon
Francisca da Romana,,,Napolitan physician,Napolitan physician
Dame PÃ©ronelle,,1292-1319,French herbalist,French herbalist
Peretta Peronne,,1411,French surgeon,French surgeon
Lauretta Ponte da Saracena Calabria,,,Napolitan physician,Napolitan physician
Trota of Salerno,,1090,Italian physician,Italian physician
Marguerite Saluzzi,,1460,Napolitan licensed herbalist physician,Napolitan licensed herbalist physician
Sara de Sancto Aegidio,,1326,French physician,French physician
Juana Sarrovia,,1384,"Barcelona, Spanish physician","Barcelona, Spanish physician"
Shen Yu Hsiu,,1500,Chinese chemist,Chinese chemist
Sun Pu-Eh,,1200,Chinese chemist,Chinese chemist
Raymunda da Taberna,,,licensed Napolitan surgeon,licensed Napolitan surgeon
ThÃ©ophanie,,1291,French barber surgeon,French barber surgeon
Trotta da Toya,,1307,Napolitan physician,Napolitan physician
Polisena da Troya,,1335,licensed Napolitan surgeon,licensed Napolitan surgeon
Margarita da Venosa,,1333,"licensed Napolitan surgeon, who studied at the University of Salerno. She was considered a noteworthy practitioner and counted Ladislaus, king of Naples, as a patient.","licensed Napolitan surgeon, who studied at the University of Salerno. She was considered a noteworthy practitioner and counted Ladislaus, king of Naples, as a patient."
Francisca di Vestis,,1308,Napolian physician,Napolian physician
Zhang Xiaoniang,,1100,Chinese physician,Chinese physician
Sophie Brahe portrait,,,,
Maria Andreae,,1550-1632,German pharmacist,German pharmacist
Marie de Brimeu,,1550-1605,Flemish botanist,Flemish botanist
Sophia Brahe,,1556-1643,Danish astronomer and chemist,Danish astronomer and chemist
Isabella Cortese,,1561,Italian alchemist,Italian alchemist
Helena Magenbuch,,1523-1597,German pharmacist,German pharmacist
Loredana Marcello,,1572,Venetian botanist,Venetian botanist
Elizabeth Moulthorne,,1593,English barber-surgeon,English barber-surgeon
Tarquinia Molza,,1542-1617,Italian natural philosopher,Italian natural philosopher
Catherine de Parthenay,,1554-1631,French mathematician,French mathematician
Elinor Sneshell,,1593,English surgeon,English surgeon
Agatha Streicher,,1520-1581,German physician,German physician
Caterina Vitale,,1566-1619,Maltese pharmacist and chemist,Maltese pharmacist and chemist
Tan Yunxian,,1461-1554,Chinese physician,Chinese physician
Margaret Cavendish,,,,
Anna Ãkerhjelm,,1647-1693,Swedish traveler and archaeologist,Swedish traveler and archaeologist
Ann Baynard,,1672-1697,British Natural philosopher,British Natural philosopher
Aphra Behn,,1640-1689,British translator of an astronomical work,British translator of an astronomical work
Martine Bertereau,,1600-1642,French mineralogist,French mineralogist
Agnes Block,,1629-1704,Dutch horticulturalist,Dutch horticulturalist
Elisabeth of Bohemia,,1618-1680,German natural philosopher,German natural philosopher
Louise Bourgeois Boursier,,1563-1636,French obstetrician,French obstetrician
Titia Brongersma,,1650-1700,"Frisian archaeologist, poet","Frisian archaeologist, poet"
Margaret Cavendish,,1623-1673,natural philosopher,natural philosopher
Marie Crous,,1640,French mathematician,French mathematician
Maria Cunitz,,1610-1664,Silesian astronomer,Silesian astronomer
Jeanne DumÃ©e,,1660-1706,French astronomer,French astronomer
Maria Clara Eimmart,,1676-1707,German astronomer,German astronomer
Marie Fouquet,,1590-1681,French medical writer,French medical writer
Eleanor Glanville,,1654-1709,English entomologist,English entomologist
Elisabeth Hevelius,,1647-1693,Polish astronomer,Polish astronomer
Maria Sibylla Merian,,1647-1717,naturalist,naturalist
Marie Meurdrac,,1610-1680,French chemist and alchemist,French chemist and alchemist
Elena Cornaro Piscopia,,1646-1684,Italian mathematician and the first female PhD,Italian mathematician and the first female PhD
Marguerite de la SabliÃ¨re,,1640-1693,French natural philosopher,French natural philosopher
Jane Sharp,,1671,British obstetrician,British obstetrician
