Name,Field(s),Date,Notes,Cleaned_Notes
Charlotte von Siebold,,1788-1859,German physician and gynecologist,German physician and gynecologist
Anna Stecks̩n,,1870-1904,Swedish pathologist,Swedish pathologist
Lucy Hobbs Taylor,,1833-1910,American dentist,American dentist
Isala Van Diest,,1842-1916,first female medical doctor and female university graduate in Belgium,first female medical doctor and female university graduate in Belgium
Catharine van Tussenbroek,,1852-1925,Dutch gynecologist,Dutch gynecologist
Mary Walker,,1832-1919,American surgeon,American surgeon
Karolina Widerstr̦m,,1856-1949,Swedish physician,Swedish physician
Thora Wigardh,,1860-1933,Swedish physician,Swedish physician
Marie Elisabeth Zakrzewska,,1829-1902,Polish-American physician,Polish-American physician
Lise Meitner,,1878-1968,"Austrian, Swedish, nuclear physicist","Austrian, Swedish, nuclear physicist"
Hertha Marks Ayrton,,1854-1923,British physicist,British physicist
Mileva Einstein-Maric,,1875-1948,Serbian/Swiss physicist,Serbian/Swiss physicist
Margaret Eliza Maltby,,1860-1944,American physicist,American physicist
Mary Somerville,,1780-1872,"British physicist, polymath","British physicist, polymath"
Eunice Newton Foote,,1819-1888,American inventor and physicist who first discovered rising carbon dioxide,American inventor and physicist who first discovered rising carbon dioxide
Mary Whiton Calkins,,1863-1930,American psychologist,American psychologist
Christine Ladd-Franklin,,1847-1930,American psychologist,American psychologist
Margaret Floy Washburn,,1871-1939,American psychologist,American psychologist
Anna Freud,,1895-1982,Austrian-British psychoanalyst,Austrian-British psychoanalyst
Jane Webb Loudon,,1807-1858,Writer of introductory gardening books,Writer of introductory gardening books
Jane Marcet,,1769-1858,Writer of introductory science books,Writer of introductory science books
Almira Hart Lincoln Phelps,,1793-1884,American science educator,American science educator
Josephine Silone Yates,,1912,American chemistry professor,American chemistry professor
Jane Addams,,1860-1935,American sociologist,American sociologist
Charlotte Perkins Gilman,,1860-1935,American sociologist,American sociologist
Beatrice Webb,,1858-1943,English sociologist and economist,English sociologist and economist
