Name,Field(s),Date,Notes,Cleaned_Notes
Gillian Wratt,,,,
Pamela Young,,,first New Zealand woman to live and work in Antarctica,first New Zealand woman to live and work in Antarctica
Liv Arnesen,,1953,"Cross-country Skier-first woman to ski alone to the South Pole in 1994,","Cross-country Skier-first woman to ski alone to the South Pole in 1994,"
Ingrid Christensen,,1891-1976,"Early Polar Explorer-first woman to land on the Antarctic mainland or at least view land in Antarctica (1931,","Early Polar Explorer-first woman to land on the Antarctic mainland or at least view land in Antarctica (1931,"
Lillemor Rachlew,,1902-1983,One of the First Women to Set Foot on the Antarctic Mainland in 1937,One of the First Women to Set Foot on the Antarctic Mainland in 1937
Cecilie Skog,,1974,"Nurse-explorer,adventurer","Nurse-explorer,adventurer"
Monica Kristensen SolÃ¥s,,1950,"Glaciologist-meteorologist,explorer","Glaciologist-meteorologist,explorer"
Namira Salim,,1975,"Explorer-artist,","Explorer-artist,"
Maria Olech,,1941,"Biologist-lichenologist,","Biologist-lichenologist,"
Florica TopÃ¢rceanu,,1954,"Biologist-medical researcher,","Biologist-medical researcher,"
Maria Klenova,,1898-1976,"Marine Geologist-first women to undertake scientific work in Antarctica in 1956,contributing to the first Soviet Antarctic atlas","Marine Geologist-first women to undertake scientific work in Antarctica in 1956,contributing to the first Soviet Antarctic atlas"
Bettine van Vuuren,,1992,Zoologist,Zoologist
In-Young Ahn,,1982,"Benthic Ecologist-oceanographer,","Benthic Ecologist-oceanographer,"
Ji Hee Kim,,1991,"Biologist-environmentalist,writer","Biologist-environmentalist,writer"
Hong Kum Lee,,1989,Marine Biotechnologist,Marine Biotechnologist
Susana AgustÃ­,,1982,Biological Oceanographer,Biological Oceanographer
Josefina CastellvÃ­,,1935,"Oceanographer-biologist,writer","Oceanographer-biologist,writer"
Carlota Escutia Dotti,,1982,Geologist,Geologist
Elisabeth Isaksson,,1986,"Glaciologist-geologist,","Glaciologist-geologist,"
Anna WÃ¥hlin,,1970,Physical Oceanographer,Physical Oceanographer
Tina SjÃ¶gren,,1959,"Czech-born Mountaineer-explorer,first woman to complete the Three Poles Challenge in 2002","Czech-born Mountaineer-explorer,first woman to complete the Three Poles Challenge in 2002"
Annelie Pompe,,1981,"Adventurer-has climbed all seven summits,including Mount Vinson.","Adventurer-has climbed all seven summits,including Mount Vinson."
Johanna Davidsson,,1983,"Adventurer-has skied alone from the coast to the South Pole.,","Adventurer-has skied alone from the coast to the South Pole.,"
Marilyn Raphael,,1990,"Climatologist-educator,writer","Climatologist-educator,writer"
Burcu Ãzsoy,,1976,Scientist,Scientist
Åahika ErcÃ¼men,,1985,Freediver,Freediver
Halyna Kolotnytska,,1972,Cook of The Second Ukrainian Antarctic Expedition 1997/98,Cook of The Second Ukrainian Antarctic Expedition 1997/98
Louise Allcock,,1992,"Marine Biologist-editor,","Marine Biologist-editor,"
Felicity Aston,,1977,"Explorer-climate scientist,","Explorer-climate scientist,"
Kim Crosbie,,1969,"Environmentalist-citizen scientist,writer","Environmentalist-citizen scientist,writer"
Ginny Fiennes,,1947-2004,"Explorer-her Transglobe Expedition team was the first to reach the two poles,","Explorer-her Transglobe Expedition team was the first to reach the two poles,"
Jane Francis,,1956,"Palaeoclimatologist-director of the British Antarctic Survey,","Palaeoclimatologist-director of the British Antarctic Survey,"
Helen Fricker,,1991,"Glaciologist-writer,","Glaciologist-writer,"
Karen Heywood,,1983,"Oceanographer-educator,","Oceanographer-educator,"
Eleanor Honnywill,,1919-2003,"Contributor to the British Antarctic Survey-writer,","Contributor to the British Antarctic Survey-writer,"
Joanne Johnson,,1977,"Geologist-writer,","Geologist-writer,"
Hannah McKeand,,1973,,
Tavi Murray,,1990,Glaciologist,Glaciologist
Elizabeth Morris,,1946,Glaciologist,Glaciologist
Pom Oliver,,1952,"Explorer-film producer,","Explorer-film producer,"
Sharon Robinson,,1961,"Plant Physiologist-climate change biologist,","Plant Physiologist-climate change biologist,"
Jane Rumble,,,,
Rosie Stancer,,1960,"Explorer-adventurer,","Explorer-adventurer,"
Janet Thomson,,1942,"Geologist-first British woman to undertake field research in Antarctica,","Geologist-first British woman to undertake field research in Antarctica,"
Fiona Thornewill,,1966,Explorer,Explorer
Jemma Wadham,,1998,Glacial Biogeochemist,Glacial Biogeochemist
Ann Bancroft,,1955,"Writer-educator,adventurer","Writer-educator,adventurer"
Jenny Baeseman,,1998,"Civil Engineer-environmentalist,geoscientist","Civil Engineer-environmentalist,geoscientist"
Robin Bell,,1980,Polar Ice Specialist,Polar Ice Specialist
Mary Odile Cahoon,,1929-2011,"Benedictine Nun-early Antarctic biological researcher,","Benedictine Nun-early Antarctic biological researcher,"
Kelly Falkner,,1960,"Chemical Oceanographer-educator,","Chemical Oceanographer-educator,"
Patricia Hepinstall,,,,
Barbara Hillary,,1931-2019,"-First African-American Woman to Reach Both Poles,","-First African-American Woman to Reach Both Poles,"
Louise Huffman,,1951,Educator Specializing in Polar Science,Educator Specializing in Polar Science
Christina Hulbe,,1994,"Geologist-educator,","Geologist-educator,"
Lois Jones,,1935-2000,"Geochemist-led the first all-woman science team to Antarctica in 1969,","Geochemist-led the first all-woman science team to Antarctica in 1969,"
Kelly Jemison,,,,
Ruth Kelley,,,,
Amy Leventer,,1982,"Marine Biologist-micropaleontologist,","Marine Biologist-micropaleontologist,"
Diane McKnight,,1953,"Environmental Engineer-educator,editor","Environmental Engineer-educator,editor"
Mary Alice McWhinnie,,1922-1980,"Biologist-first American woman to head an Antarctic research station,","Biologist-first American woman to head an Antarctic research station,"
Jill Mikucki,,1996,Microbiologist,Microbiologist
Robyn Millan,,1995,"Astronomist-physicist,investigating radiation belts","Astronomist-physicist,investigating radiation belts"
Tori Murden,,1963,"Explorer-first woman to reach the South Pole by land in 1989,","Explorer-first woman to reach the South Pole by land in 1989,"
Alison Murray,,1989,Microbiologist,Microbiologist
Jerri Nielsen,,1952-2009,"Physician-writer,","Physician-writer,"
Julie Palais,,1974,Glaciologist,Glaciologist
Irene C. Peden,,1925,"Electrical Engineer-first American scientist to work in the Antarctic interior in 1970,","Electrical Engineer-first American scientist to work in the Antarctic interior in 1970,"
Ann Peoples,,1979,First American Woman to Have a Management Position in Antarctica,First American Woman to Have a Management Position in Antarctica
Erin Pettit,,1971,Glaciologist,Glaciologist
Vanessa O'Brien,,1964,"Mountain Climber-explorer,","Mountain Climber-explorer,"
Christina Riesselman,,2001,Paleoceanographer,Paleoceanographer
Michelle Rogan-Finnemore,,1981,"Scientist-legal expert,","Scientist-legal expert,"
Jackie Ronne,,1919-2009,"Explorer-first woman to be a working member of an Antarctic expedition (1947-48,","Explorer-first woman to be a working member of an Antarctic expedition (1947-48,"
Christine Siddoway,,1961,Structural Geologist,Structural Geologist
Deborah Steinberg,,1987,"Oceanographer-zooplankton ecologist,","Oceanographer-zooplankton ecologist,"
Cristina Takacs-Vesbach,,1968,Microbial Ecologist,Microbial Ecologist
Lynne Talley,,1954,Physical Oceanographer,Physical Oceanographer
Trista Vick-Majors,,2000,Microbial Ecologist,Microbial Ecologist
Diana Wall,,1971,Environmental Scientist and a Soil Ecologist,Environmental Scientist and a Soil Ecologist
Sophie Warny,,1969,Belgian-born Palynologist,Belgian-born Palynologist
Terry Wilson,,1954,"Geologist-tectonics specialist,","Geologist-tectonics specialist,"
